timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.69E+12,561,Dummy HTTP Request,200,OK,ChangeControl Scenario 1-1,text,TRUE,,1897,259,1,1,https://www.google.com/,0,0,450
1.69E+12,483,Dummy HTTP Request-0,301,Moved Permanently,ChangeControl Scenario 1-1,text,TRUE,,790,113,1,1,https://google.com/,0,0,450
1.69E+12,74,Dummy HTTP Request-1,200,OK,ChangeControl Scenario 1-1,text,TRUE,,1107,146,1,1,https://www.google.com/,0,0,51
1.69E+12,561,Config Environment Variables,200,"Number of samples in transaction : 1, number of failing samples : 0",ChangeControl Scenario 1-1,,TRUE,,1897,259,1,1,null,0,759,450
1.69E+12,572,Cloud Login_3dspace_admcommoncs_4_Cloud_ODT,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 10, number of failing samples : 6",ChangeControl Scenario 1-1,,FALSE,,18379,1800,1,1,null,0,0,53
1.69E+12,53,Login_LT_Using_Action_Cloud,200,,ChangeControl Scenario 1-1,text,TRUE,,1054,152,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas//login?action=lt,53,0,46
1.69E+12,381,Login_3dpassport_ticket,302,,ChangeControl Scenario 1-1,,TRUE,,1053,520,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100824258-aph7-space.3dexperience.3ds.com:443/enovia,381,0,0
1.69E+12,18,Login_Passport_cas_login_token1_space-token,200,,ChangeControl Scenario 1-1,text,TRUE,,1081,527,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100824258-aph7-space.3dexperience.3ds.com/enovia/&xrequestedwith=xmlhttprequest,17,0,0
1.69E+12,3,Login_CSRF_space_token_ST-1415324-loaOIJ7fxoeEf99CGfTu-cas,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (R1132100824258-aph7-space.3dexperience.3ds.com),ChangeControl Scenario 1-1,text,FALSE,,2479,0,1,1,https://R1132100824258-aph7-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100824258,0,0,3
1.69E+12,0,Login_get_securityContext,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: R1132100824258-aph7-space.3dexperience.3ds.com,ChangeControl Scenario 1-1,text,FALSE,,2267,0,1,1,https://R1132100824258-aph7-space.3dexperience.3ds.com/enovia/resources/pno/person/getsecuritycontext?tenant=R1132100824258,0,0,0
1.69E+12,2,Login_Federated0,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: No such host is known (R1132100824258-aph7-fedsearch.3dexperience.3ds.com),ChangeControl Scenario 1-1,text,FALSE,,2483,0,1,1,https://R1132100824258-aph7-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100824258&xrequestedwith=xmlhttprequest,0,0,2
