timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694873101216,540,Dummy HTTP Request,200,OK,EngItemSearch Scenario 1-1,text,true,,1897,259,1,1,https://www.google.com/,0,0,431
1694873101216,462,Dummy HTTP Request-0,301,Moved Permanently,EngItemSearch Scenario 1-1,text,true,,790,113,1,1,https://google.com/,0,0,431
1694873101683,73,Dummy HTTP Request-1,200,OK,EngItemSearch Scenario 1-1,text,true,,1107,146,1,1,https://www.google.com/,0,0,50
1694873101139,540,Config Environment Variables,200,"Number of samples in transaction : 1, number of failing samples : 0",EngItemSearch Scenario 1-1,,true,,1897,259,1,1,null,0,800,431
1694873102548,2812,Cloud Login_3dspace_admcommoncs_4_Cloud_ODT,401,"Number of samples in transaction : 10, number of failing samples : 1",EngItemSearch Scenario 1-1,,false,,16199,6818,1,1,null,0,0,96
1694873102549,58,Login_LT_Using_Action_Cloud,200,,EngItemSearch Scenario 1-1,text,true,,1054,152,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas//login?action=lt,58,0,49
1694873102625,361,Login_3dpassport_ticket,302,,EngItemSearch Scenario 1-1,,true,,1049,519,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com:443/enovia,361,0,0
1694873102991,18,Login_Passport_cas_login_token1_space-token,200,,EngItemSearch Scenario 1-1,text,true,,1077,524,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/&xrequestedwith=xmlhttprequest,18,0,0
1694873103016,442,Login_CSRF_space_token_ST-492775-ILfzBD6Sz9aR3wpW73cr-cas,200,,EngItemSearch Scenario 1-1,text,true,,3774,1110,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-507557-ewLou6CHZpuFNcUwazn3-r1132100512396,39,0,29
1694873103016,39,Login_CSRF_space_token_ST-492775-ILfzBD6Sz9aR3wpW73cr-cas-0,302,,EngItemSearch Scenario 1-1,,true,,1212,287,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396,39,0,29
1694873103056,59,Login_CSRF_space_token_ST-492775-ILfzBD6Sz9aR3wpW73cr-cas-1,302,,EngItemSearch Scenario 1-1,,true,,1470,409,1,1,https://r1132100512396-eu1.iam.3dexperience.3ds.com:443/login?service=https%3A%2F%2Fr1132100512396-eu1-space.3dexperience.3ds.com%2Fenovia%2Fresources%2Fv1%2Fapplication%2FCSRF%3Ftenant%3DR1132100512396%26serverId%3DMT_Metadata_1_7025,59,0,18
1694873103117,341,Login_CSRF_space_token_ST-492775-ILfzBD6Sz9aR3wpW73cr-cas-2,200,,EngItemSearch Scenario 1-1,text,true,,1092,414,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-507557-ewLou6CHZpuFNcUwazn3-r1132100512396,341,0,19
1694873103518,21,Login_get_securityContext,200,,EngItemSearch Scenario 1-1,text,true,,932,428,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/pno/person/getsecuritycontext?tenant=R1132100512396,20,0,0
1694873103545,23,Login_Federated0,200,,EngItemSearch Scenario 1-1,,true,,586,304,1,1,https://R1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest,23,0,18
1694873103572,318,Login_Federated1,401,,EngItemSearch Scenario 1-1,text,false,,1389,797,1,1,https://r1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest&serverId=FederatedSearch_Metadata_1,298,0,0
1694873103572,298,Login_Federated1-0,302,,EngItemSearch Scenario 1-1,,true,,776,379,1,1,https://R1132100512396-eu1-fedsearch.3dexperience.3ds.com/federated/login?tenant=R1132100512396&xrequestedwith=xmlhttprequest&ticket=ST-492775-ILfzBD6Sz9aR3wpW73cr-cas,298,0,0
