timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694872973743,538,Dummy HTTP Request,200,OK,EngItemAttributeContent Scenario 1-1,text,true,,1897,259,1,1,https://www.google.com/,0,0,410
1694872973743,440,Dummy HTTP Request-0,301,Moved Permanently,EngItemAttributeContent Scenario 1-1,text,true,,790,113,1,1,https://google.com/,0,0,410
1694872974187,94,Dummy HTTP Request-1,200,OK,EngItemAttributeContent Scenario 1-1,text,true,,1107,146,1,1,https://www.google.com/,0,0,71
1694872973670,538,Config Environment Variables,200,"Number of samples in transaction : 1, number of failing samples : 0",EngItemAttributeContent Scenario 1-1,,true,,1897,259,1,1,null,0,753,410
1694872975039,2278,Cloud Login_3dspace_admcommoncs_4_Cloud_ODT,401,"Number of samples in transaction : 10, number of failing samples : 1",EngItemAttributeContent Scenario 1-1,,false,,16199,6818,1,1,null,0,0,118
1694872975040,58,Login_LT_Using_Action_Cloud,200,,EngItemAttributeContent Scenario 1-1,text,true,,1054,152,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas//login?action=lt,58,0,51
1694872975115,349,Login_3dpassport_ticket,302,,EngItemAttributeContent Scenario 1-1,,true,,1049,519,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com:443/enovia,349,0,0
1694872975469,42,Login_Passport_cas_login_token1_space-token,200,,EngItemAttributeContent Scenario 1-1,text,true,,1077,524,1,1,https://eu1-ds-iam.3dexperience.3ds.com/cas/login?service=https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/&xrequestedwith=xmlhttprequest,41,0,0
1694872975517,621,Login_CSRF_space_token_ST-492040-6XdQcfUr6uGa47TWPyht-cas,200,,EngItemAttributeContent Scenario 1-1,text,true,,3774,1110,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-492044-bA0hFOe6Wl6sMycwErPU-r1132100512396,57,0,50
1694872975517,57,Login_CSRF_space_token_ST-492040-6XdQcfUr6uGa47TWPyht-cas-0,302,,EngItemAttributeContent Scenario 1-1,,true,,1212,287,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396,57,0,50
1694872975576,138,Login_CSRF_space_token_ST-492040-6XdQcfUr6uGa47TWPyht-cas-1,302,,EngItemAttributeContent Scenario 1-1,,true,,1470,409,1,1,https://r1132100512396-eu1.iam.3dexperience.3ds.com:443/login?service=https%3A%2F%2Fr1132100512396-eu1-space.3dexperience.3ds.com%2Fenovia%2Fresources%2Fv1%2Fapplication%2FCSRF%3Ftenant%3DR1132100512396%26serverId%3DMT_Metadata_0_7025,138,0,43
1694872975716,422,Login_CSRF_space_token_ST-492040-6XdQcfUr6uGa47TWPyht-cas-2,200,,EngItemAttributeContent Scenario 1-1,text,true,,1092,414,1,1,https://r1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/application/CSRF?tenant=R1132100512396&ticket=ST-492044-bA0hFOe6Wl6sMycwErPU-r1132100512396,422,0,16
1694872976193,24,Login_get_securityContext,200,,EngItemAttributeContent Scenario 1-1,text,true,,932,428,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/pno/person/getsecuritycontext?tenant=R1132100512396,24,0,0
