timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694874678124,216,TestStep2:Get Position of All the engineering instances,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1359,738,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,216,0,0
1694874678389,654,TestStep3:Set Position of engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1316,1545,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,654,0,0
1694874679084,232,TestStep4:Get Position of Engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1316,771,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance/8E4FBA104E3700006505BC3800087013?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,232,0,0
1694874679355,751,TestStep5:Set Partial Position of engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1313,1288,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,751,0,0
1694874680144,227,TestStep6:Get Position of Engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1313,771,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance/8E4FBA104E3700006505BC3900089641?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,227,0,0
1694874680409,508,TestStep7:Modify Position of engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1320,1162,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance/8E4FBA104E3700006505BC3800087013?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,508,0,0
1694874680953,219,TestStep8:Get Position of Engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1320,771,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance/8E4FBA104E3700006505BC3800087013?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,219,0,0
1694874681205,503,TestStep9:Modify Partial Position of engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1317,902,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance/8E4FBA104E3700006505BC3900089641?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,503,0,0
1694874681742,262,TestStep10:Get Position of Engineering instance,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1317,771,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC3500065F1D/dseng:EngInstance/8E4FBA104E3700006505BC3900089641?tenant=R1132100512396&$mask=dsmveng:EngInstanceMask.Position,262,0,0
1694874682036,522,Create Parent Eng Item with Default mask,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1226,837,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem?$mask=dskern:Mask.Default&tenant=R1132100512396,522,0,0
1694874682585,790,Create Eng Item of V5 Type ,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,2459,8844,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/collabServices/authoring/createContent/Create?tenant=R1132100512396&typeName=assembly&select=type&select=physicalid&select=cestamp&parsed=true&activeFolder=false&&xrequestedwith=xmlhttprequest,789,0,0
1694874683382,1166, Create Eng Item of SLW-Default Assembly type,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,2465,8848,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/collabServices/authoring/createContent/Create?tenant=R1132100512396&typeName=assembly&select=type&select=physicalid&select=cestamp&parsed=true&activeFolder=false&&xrequestedwith=xmlhttprequest,1166,0,0
